"description","regex"
"Extract a string of three letters and three digits separated by a hyphen.","^[A-Za-z]{3}-[0-9]{3}$"
"Match a string containing the substring 'edge'.","^.*edge.*$"
"Find a string where one or more digits come immediately before the word 'hour'.","^.*\d+hour.*$"
"Match a string made of one uppercase letter followed by two digits.","^[A-Z]{1}[0-9]{2}$"
"Find a string of exactly three special characters.","^[!@#$%^&*]{3}$"
"Search for a string of exactly six letters.","^[A-Za-z]{6}$"
"Search for a string of word characters that does not start with the word 'Cache', using a negative lookahead.","^(?!Cache)\w+$"
"Find a string of two lowercase letters and three digits separated by a slash.","^[a-z]{2}/[0-9]{3}$"
"Extract a string of four lowercase letters and four digits separated by a slash.","^[a-z]{4}/[0-9]{4}$"
"Check if the input is a string containing the substring 'test'.","^.*test.*$"
"Test whether the input is a string of exactly three vowels.","^[aeiou]{3}$"
"Test whether the input is a string where the substring 'stack' is immediately followed by a two-digit id.","^.*stack\d{2}.*$"
"Capture a string containing the standalone whole word 'state'.","^.*\bstate\b.*$"
"Extract a string where one or more digits come immediately before the word 'minute'.","^.*\d+minute.*$"
"Test whether the input is a string of four letters and three digits separated by a slash.","^[A-Za-z]{4}/[0-9]{3}$"
"Match a string that ends with the word 'level'.","^.*level$"
"Check if the input is a string of two lowercase letters and two digits separated by a colon.","^[a-z]{2}:[0-9]{2}$"
"Capture a string of two lowercase letters and four digits separated by a slash.","^[a-z]{2}/[0-9]{4}$"
"Capture a string where the substring 'phone' is immediately followed by a five-digit id.","^.*phone\d{5}.*$"
"Find a string where one or more digits come immediately before the word 'account'.","^.*\d+account.*$"
"Check if the input is a string that starts with the word 'gamma'.","^gamma.*$"
"Check if the input is a string containing the standalone whole word 'gamma'.","^.*\bgamma\b.*$"
"Check if the input is a string that ends with the word 'user'.","^.*user$"
"Extract a run of digits that is not immediately preceded by a minus sign, using a negative lookbehind.","(?<!-)\d+"
"Search for a string where the substring 'city' is immediately followed by a four-digit id.","^.*city\d{4}.*$"
"Search for a string made of four uppercase letters followed by one lowercase letter.","^[A-Z]{4}[a-z]{1}$"
"Capture a string that starts with the word 'report'.","^report.*$"
"Capture a string of exactly four digits.","^[0-9]{4}$"
"Validate a string made of one lowercase letter followed by four digits.","^[a-z]{1}[0-9]{4}$"
"Search for a string that is exactly the word 'country'.","^country$"
"Detect a string of at least eight letters.","^[A-Za-z]{8,}$"
"Extract a string made of one uppercase letter followed by one lowercase letter.","^[A-Z]{1}[a-z]{1}$"
"Test whether the input is a string that is exactly the word 'day'.","^day$"
"Identify a string of one or more whitespace characters.","^\s+$"
"Check if the input is a string where the substring 'total' is immediately followed by a two-digit id.","^.*total\d{2}.*$"
"Detect a string of exactly five uppercase letters.","^[A-Z]{5}$"
"Capture a string of exactly four whitespace characters.","^\s{4}$"
"Identify a string where the substring 'data' is immediately followed by a two-digit id.","^.*data\d{2}.*$"
"Identify a string of four uppercase letters and four digits separated by a underscore.","^[A-Z]{4}_[0-9]{4}$"
"Find a string of word characters that does not start with the word 'Config', using a negative lookahead.","^(?!Config)\w+$"
"Match a string where the substring 'config' is immediately followed by a four-digit id.","^.*config\d{4}.*$"
"Check if the input is a string of exactly four letters.","^[A-Za-z]{4}$"
"Capture a string of at least five hexadecimal digits.","^[0-9A-Fa-f]{5,}$"
"Identify a string that ends with the word 'phone'.","^.*phone$"
"Find a string of exactly four whitespace characters.","^\s{4}$"
"Test whether the input is a string containing the substring 'beta'.","^.*beta.*$"
"Test whether the input is a string of exactly ten digits.","^[0-9]{10}$"
"Validate a string of four letters and two digits separated by a slash.","^[A-Za-z]{4}/[0-9]{2}$"
"Extract a string made of two letters followed by two digits.","^[A-Za-z]{2}[0-9]{2}$"
"Detect a string of between three and five uppercase letters.","^[A-Z]{3,5}$"
"Search for a string where one or more digits come immediately before the word 'invoice'.","^.*\d+invoice.*$"
"Check if the input is a string where the substring 'cache' is immediately followed by a three-digit id.","^.*cache\d{3}.*$"
"Identify a string of at least two alphanumeric characters.","^[A-Za-z0-9]{2,}$"
"Extract a string where the substring 'flag' is immediately followed by a four-digit id.","^.*flag\d{4}.*$"
"Detect a string of two uppercase letters and four digits separated by a underscore.","^[A-Z]{2}_[0-9]{4}$"
"Test whether the input is a string where the substring 'price' is immediately followed by a three-digit id.","^.*price\d{3}.*$"
"Capture a string containing the same letter repeated two times in a row.","^.*([A-Za-z])\1{1}.*$"
"Capture a string of between three and five alphanumeric characters.","^[A-Za-z0-9]{3,5}$"
"Identify a string that is exactly the word 'task'.","^task$"
"Check if the input is a string where the substring 'item' is immediately followed by a three-digit id.","^.*item\d{3}.*$"
"Test whether the input is a string that ends with the word 'queue'.","^.*queue$"
"Search for a string that is exactly the word 'beta'.","^beta$"
"Validate a string where the word 'config' is followed by one or more digits.","^.*config\d+.*$"
"Check if the input is a string that starts with the word 'flag'.","^flag.*$"
"Capture a string containing the standalone whole word 'graph'.","^.*\bgraph\b.*$"
"Validate a string made of one uppercase letter followed by four lowercase letters.","^[A-Z]{1}[a-z]{4}$"
"Find a string of at least three hexadecimal digits.","^[0-9A-Fa-f]{3,}$"
"Identify a string where the substring 'date' is immediately followed by a two-digit id.","^.*date\d{2}.*$"
"Check if the input is a string where the substring 'config' is immediately followed by a three-digit id.","^.*config\d{3}.*$"
"Search for a string where the substring 'hour' is immediately followed by a two-digit id.","^.*hour\d{2}.*$"
"Check if the input is a string of exactly one alphanumeric character.","^[A-Za-z0-9]{1}$"
"Find a string that ends with the word 'date'.","^.*date$"
"Test whether the input is a string of at least one digit.","^[0-9]{1,}$"
"Validate a string where one or more digits come immediately before the word 'job'.","^.*\d+job.*$"
"Validate a string containing the substring 'login'.","^.*login.*$"
"Match a string of at least two uppercase letters.","^[A-Z]{2,}$"
"Detect a string of between two and four lowercase letters.","^[a-z]{2,4}$"
"Find a string containing the substring 'address'.","^.*address.*$"
"Detect a string of four letters and three digits separated by a dot.","^[A-Za-z]{4}\.[0-9]{3}$"
"Identify a string made of two uppercase letters followed by three lowercase letters.","^[A-Z]{2}[a-z]{3}$"
"Identify a string of four letters and two digits separated by a hyphen.","^[A-Za-z]{4}-[0-9]{2}$"
"Check if the input is a string of exactly ten alphanumeric characters.","^[A-Za-z0-9]{10}$"
"Extract a string of four uppercase letters and three digits separated by a colon.","^[A-Z]{4}:[0-9]{3}$"
"Search for a string where the substring 'account' is immediately followed by a four-digit id.","^.*account\d{4}.*$"
"Test whether the input is a string where the substring 'graph' is immediately followed by a two-digit id.","^.*graph\d{2}.*$"
"Search for a string of exactly one whitespace character.","^\s{1}$"
"Validate a string where the substring 'ticket' is immediately followed by a three-digit id.","^.*ticket\d{3}.*$"
"Find a string that ends with the word 'node'.","^.*node$"
"Match a string made of two uppercase letters followed by three digits.","^[A-Z]{2}[0-9]{3}$"
"Validate a string that ends with the word 'date'.","^.*date$"
"Search for a password of at least eight characters with at least one digit, one special character and one letter, using lookaheads.","^(?=.*[0-9])(?=.*[!@#$%^&*])(?=.*[a-zA-Z]).{8,}$"
"Validate a string where the substring 'time' is immediately followed by a four-digit id.","^.*time\d{4}.*$"
"Test whether the input is a string where the substring 'token' is immediately followed by a six-digit id.","^.*token\d{6}.*$"
"Test whether the input is a string of at least two hexadecimal digits.","^[0-9A-Fa-f]{2,}$"
"Identify a string of between one and three digits.","^[0-9]{1,3}$"
"Check if the input is a string where the substring 'batch' is immediately followed by a four-digit id.","^.*batch\d{4}.*$"
"Capture a string that ends with the word 'cache'.","^.*cache$"
"Extract a string of between two and four lowercase letters.","^[a-z]{2,4}$"
"Validate a string where the substring 'profile' is immediately followed by a six-digit id.","^.*profile\d{6}.*$"
"Search for a string containing the substring 'batch'.","^.*batch.*$"
"Match a string containing the substring 'test'.","^.*test.*$"
"Test whether the input is a string that is exactly the word 'alpha'.","^alpha$"
"Detect a string of at least eight uppercase letters.","^[A-Z]{8,}$"
"Identify a string of exactly four whitespace characters.","^\s{4}$"
"Test whether the input is a string made of three uppercase letters followed by three lowercase letters.","^[A-Z]{3}[a-z]{3}$"
"Detect a string where one or more digits come immediately before the word 'order'.","^.*\d+order.*$"
"Find a string where the word 'edge' is followed by one or more digits.","^.*edge\d+.*$"
"Validate a string where the substring 'report' is immediately followed by a six-digit id.","^.*report\d{6}.*$"
"Detect a string containing the standalone whole word 'city'.","^.*\bcity\b.*$"
"Capture a string that ends with the word 'item'.","^.*item$"
"Extract a string containing the substring 'state'.","^.*state.*$"
"Search for a string where the substring 'level' is immediately followed by a four-digit id.","^.*level\d{4}.*$"
"Detect a string where one or more digits come immediately before the word 'report'.","^.*\d+report.*$"
"Test whether the input is a string where the substring 'test' is immediately followed by a six-digit id.","^.*test\d{6}.*$"
"Find a string containing the standalone whole word 'error'.","^.*\berror\b.*$"
"Search for a string where the substring 'login' is immediately followed by a six-digit id.","^.*login\d{6}.*$"
"Check if the input is a string of four lowercase letters and two digits separated by a colon.","^[a-z]{4}:[0-9]{2}$"
"Search for a string of two uppercase letters and two digits separated by a dot.","^[A-Z]{2}\.[0-9]{2}$"
"Test whether the input is a string of at least eight letters.","^[A-Za-z]{8,}$"
"Test whether the input is a string where the substring 'day' is immediately followed by a five-digit id.","^.*day\d{5}.*$"
"Check if the input is a string containing the standalone whole word 'hour'.","^.*\bhour\b.*$"
"Search for a string of between four and eight lowercase letters.","^[a-z]{4,8}$"
"Check if the input is a string of one or more word characters.","^\w+$"
"Identify a string where the substring 'level' is immediately followed by a six-digit id.","^.*level\d{6}.*$"
"Search for a string of two letters and two digits separated by a colon.","^[A-Za-z]{2}:[0-9]{2}$"
"Find a string that ends with the word 'email'.","^.*email$"
"Match a string where one or more digits come immediately before the word 'price'.","^.*\d+price.*$"
"Search for a string of four uppercase letters and four digits separated by a hyphen.","^[A-Z]{4}-[0-9]{4}$"
"Match a string where the substring 'cache' is immediately followed by a three-digit id.","^.*cache\d{3}.*$"
"Match a string of one or more lowercase letters.","^[a-z]+$"
"Search for a string containing the standalone whole word 'data'.","^.*\bdata\b.*$"
"Match a string of three letters and two digits separated by a dot.","^[A-Za-z]{3}\.[0-9]{2}$"
"Extract a string that is exactly the word 'gamma'.","^gamma$"
"Match a string of two letters and two digits separated by a hyphen.","^[A-Za-z]{2}-[0-9]{2}$"
"Search for a string of two uppercase letters and three digits separated by a colon.","^[A-Z]{2}:[0-9]{3}$"
"Validate a string of two lowercase letters and two digits separated by a dot.","^[a-z]{2}\.[0-9]{2}$"
"Extract a string containing the same digit repeated five times in a row.","^.*(\d)\1{4}.*$"
"Find a string of exactly one special character.","^[!@#$%^&*]$"
"Validate the run of digits that appears right after a hash sign, using a positive lookbehind.","(?<=#)\d+"
"Extract a string where the word 'queue' is followed by one or more digits.","^.*queue\d+.*$"
"Detect a string of three uppercase letters and four digits separated by a dot.","^[A-Z]{3}\.[0-9]{4}$"
"Search for a string where the substring 'year' is immediately followed by a three-digit id.","^.*year\d{3}.*$"
"Check if the input is a string of exactly four digits.","^[0-9]{4}$"
"Search for a string of exactly one special character.","^[!@#$%^&*]$"
"Detect a string where the substring 'data' is immediately followed by a three-digit id.","^.*data\d{3}.*$"
"Detect a string containing the same character repeated four times in a row.","^.*(\w)\1{3}.*$"
"Identify a string that ends with the word 'config'.","^.*config$"
"Identify a string containing the standalone whole word 'graph'.","^.*\bgraph\b.*$"
"Identify a string where one or more digits come immediately before the word 'temp'.","^.*\d+temp.*$"
"Validate a string of two lowercase letters and four digits separated by a slash.","^[a-z]{2}/[0-9]{4}$"
"Match a string of word characters that does not start with the word 'Report', using a negative lookahead.","^(?!Report)\w+$"
"Capture a string where the substring 'error' is immediately followed by a five-digit id.","^.*error\d{5}.*$"
"Find a string where the substring 'hour' is immediately followed by a six-digit id.","^.*hour\d{6}.*$"
"Validate a string of three uppercase letters and two digits separated by a dot.","^[A-Z]{3}\.[0-9]{2}$"
"Validate a string of three letters and three digits separated by a colon.","^[A-Za-z]{3}:[0-9]{3}$"
"Detect a string where the word 'flag' is followed by one or more digits.","^.*flag\d+.*$"
"Extract a string containing the substring 'alpha'.","^.*alpha.*$"
"Validate a string that is exactly the word 'order'.","^order$"
"Search for a string of at least two uppercase letters.","^[A-Z]{2,}$"
"Detect a string where the substring 'user' is immediately followed by a six-digit id.","^.*user\d{6}.*$"
"Match a string where the word 'test' is followed by one or more digits.","^.*test\d+.*$"
"Validate a string made of two letters followed by four digits.","^[A-Za-z]{2}[0-9]{4}$"
"Validate a string where the substring 'flag' is immediately followed by a four-digit id.","^.*flag\d{4}.*$"
"Identify a string of word characters that does not start with the word 'Invoice', using a negative lookahead.","^(?!Invoice)\w+$"
"Identify a string where the substring 'admin' is immediately followed by a three-digit id.","^.*admin\d{3}.*$"
"Match a string of four lowercase letters and three digits separated by a underscore.","^[a-z]{4}_[0-9]{3}$"
"Validate a string containing the standalone whole word 'status'.","^.*\bstatus\b.*$"
"Check if the input is a string where the word 'state' is followed by one or more digits.","^.*state\d+.*$"
"Check if the input is a string containing the substring 'phone'.","^.*phone.*$"
"Capture a string of between three and five uppercase letters.","^[A-Z]{3,5}$"
"Test whether the input is a string of at least five digits.","^[0-9]{5,}$"
"Validate a string that is exactly the word 'month'.","^month$"
"Identify a string where the substring 'month' is immediately followed by a four-digit id.","^.*month\d{4}.*$"
"Test whether the input is a string that starts with the word 'cache'.","^cache.*$"
"Identify a string of between one and three lowercase letters.","^[a-z]{1,3}$"
"Validate a string where the substring 'amount' is immediately followed by a four-digit id.","^.*amount\d{4}.*$"
"Check if the input is a string containing the substring 'date'.","^.*date.*$"
"Find a string where the substring 'gamma' is immediately followed by a two-digit id.","^.*gamma\d{2}.*$"
"Capture a string where the substring 'year' is immediately followed by a five-digit id.","^.*year\d{5}.*$"
"Test whether the input is a string of four uppercase letters and two digits separated by a hyphen.","^[A-Z]{4}-[0-9]{2}$"
"Check if the input is a string made of two uppercase letters followed by three lowercase letters.","^[A-Z]{2}[a-z]{3}$"
"Check if the input is a string where the substring 'graph' is immediately followed by a two-digit id.","^.*graph\d{2}.*$"
"Validate a string where one or more digits come immediately before the word 'address'.","^.*\d+address.*$"
"Search for a string containing the substring 'edge'.","^.*edge.*$"
"Validate a string of exactly ten alphanumeric characters.","^[A-Za-z0-9]{10}$"
"Capture a string made of two lowercase letters followed by four digits.","^[a-z]{2}[0-9]{4}$"
"Extract a string where the substring 'code' is immediately followed by a six-digit id.","^.*code\d{6}.*$"
"Check if the input is a string containing the standalone whole word 'queue'.","^.*\bqueue\b.*$"
"Test whether the input is a string that ends with the word 'date'.","^.*date$"
"Search for a string of at least two letters.","^[A-Za-z]{2,}$"
"Extract a string where one or more digits come immediately before the word 'total'.","^.*\d+total.*$"
"Search for a string where the substring 'level' is immediately followed by a two-digit id.","^.*level\d{2}.*$"
"Identify a string of exactly two hexadecimal digits.","^[0-9A-Fa-f]{2}$"
"Extract a string where one or more digits come immediately before the word 'task'.","^.*\d+task.*$"
"Identify a string of exactly twelve digits.","^[0-9]{12}$"
"Identify a string that ends with the word 'time'.","^.*time$"
"Capture a string where one or more digits come immediately before the word 'report'.","^.*\d+report.*$"
"Extract a string that is exactly the word 'report'.","^report$"
"Find a string containing the standalone whole word 'phone'.","^.*\bphone\b.*$"
"Extract a string containing the standalone whole word 'date'.","^.*\bdate\b.*$"
"Match a string of three letters and three digits separated by a slash.","^[A-Za-z]{3}/[0-9]{3}$"
"Validate a string of exactly ten letters.","^[A-Za-z]{10}$"
"Match a string of four letters and three digits separated by a colon.","^[A-Za-z]{4}:[0-9]{3}$"
"Match a string of four uppercase letters and two digits separated by a dot.","^[A-Z]{4}\.[0-9]{2}$"
"Search for a string where the word 'invoice' is followed by one or more digits.","^.*invoice\d+.*$"
"Capture a string of exactly two whitespace characters.","^\s{2}$"
"Check if the input is a string where the substring 'temp' is immediately followed by a four-digit id.","^.*temp\d{4}.*$"
"Check if the input is a string where the substring 'level' is immediately followed by a five-digit id.","^.*level\d{5}.*$"
"Extract a string of three lowercase letters and two digits separated by a underscore.","^[a-z]{3}_[0-9]{2}$"
"Capture a string where the substring 'time' is immediately followed by a two-digit id.","^.*time\d{2}.*$"
"Detect a string where the substring 'phone' is immediately followed by a two-digit id.","^.*phone\d{2}.*$"
"Detect a string of between two and six hexadecimal digits.","^[0-9A-Fa-f]{2,6}$"
"Match a string of three uppercase letters and four digits separated by a dot.","^[A-Z]{3}\.[0-9]{4}$"
"Match a string of four uppercase letters and three digits separated by a dot.","^[A-Z]{4}\.[0-9]{3}$"
"Extract a string that ends with the word 'account'.","^.*account$"
"Validate a string where the substring 'login' is immediately followed by a two-digit id.","^.*login\d{2}.*$"
"Match a string of exactly five word characters.","^\w{5}$"
"Search for a string where the substring 'token' is immediately followed by a five-digit id.","^.*token\d{5}.*$"
"Identify a string that is exactly the word 'level'.","^level$"
"Match a string where the substring 'task' is immediately followed by a two-digit id.","^.*task\d{2}.*$"
"Test whether the input is a string that ends with the word 'batch'.","^.*batch$"
"Extract a string that starts with the word 'graph'.","^graph.*$"
"Extract a string of exactly ten alphanumeric characters.","^[A-Za-z0-9]{10}$"
"Check if the input is a string of exactly three uppercase letters.","^[A-Z]{3}$"
"Capture a string that starts with the word 'edge'.","^edge.*$"
"Match a string of exactly seven digits.","^[0-9]{7}$"
"Detect a string of two uppercase letters and three digits separated by a underscore.","^[A-Z]{2}_[0-9]{3}$"
"Search for a string where the substring 'time' is immediately followed by a three-digit id.","^.*time\d{3}.*$"
"Test whether the input is a string made of two letters followed by three digits.","^[A-Za-z]{2}[0-9]{3}$"
"Find a string that starts with the word 'stack'.","^stack.*$"
"Test whether the input is a string where one or more digits come immediately before the word 'ticket'.","^.*\d+ticket.*$"
"Search for a string where the substring 'data' is immediately followed by a two-digit id.","^.*data\d{2}.*$"
"Check if the input is a string containing the same digit repeated four times in a row.","^.*(\d)\1{3}.*$"
"Capture a string containing the substring 'report'.","^.*report.*$"
"Detect a string where one or more digits come immediately before the word 'user'.","^.*\d+user.*$"
"Validate a string where the substring 'state' is immediately followed by a three-digit id.","^.*state\d{3}.*$"
"Identify a string of three letters and three digits separated by a slash.","^[A-Za-z]{3}/[0-9]{3}$"
"Check if the input is a two-decimal amount that follows a dollar sign, using a positive lookbehind.","(?<=\$)\d+\.\d{2}"
"Capture a string of two letters and three digits separated by a dot.","^[A-Za-z]{2}\.[0-9]{3}$"
"Identify a string of exactly seven uppercase letters.","^[A-Z]{7}$"
"Test whether the input is a string that starts with the word 'state'.","^state.*$"
"Capture a string where the substring 'batch' is immediately followed by a six-digit id.","^.*batch\d{6}.*$"
"Check if the input is a string that ends with the word 'graph'.","^.*graph$"
"Match a string where the substring 'error' is immediately followed by a six-digit id.","^.*error\d{6}.*$"
"Check if the input is a string that starts with the word 'graph'.","^graph.*$"
"Find a string of two letters and four digits separated by a colon.","^[A-Za-z]{2}:[0-9]{4}$"
"Test whether the input is a string containing the standalone whole word 'stack'.","^.*\bstack\b.*$"
"Extract a string where the substring 'item' is immediately followed by a five-digit id.","^.*item\d{5}.*$"
"Check if the input is a string containing the substring 'country'.","^.*country.*$"
"Validate a string that starts with the word 'graph'.","^graph.*$"
"Validate a string where the substring 'error' is immediately followed by a two-digit id.","^.*error\d{2}.*$"
"Find a string of between one and three uppercase letters.","^[A-Z]{1,3}$"
"Search for a string of at least one digit.","^[0-9]{1,}$"
"Match a string containing the standalone whole word 'job'.","^.*\bjob\b.*$"
"Test whether the input is a string of exactly four lowercase letters.","^[a-z]{4}$"
"Detect a string made of three uppercase letters followed by three lowercase letters.","^[A-Z]{3}[a-z]{3}$"
"Check if the input is a string where the substring 'test' is immediately followed by a two-digit id.","^.*test\d{2}.*$"
"Extract a string containing the same letter repeated two times in a row.","^.*([A-Za-z])\1{1}.*$"
"Check if the input is a string where one or more digits come immediately before the word 'alpha'.","^.*\d+alpha.*$"
"Check if the input is a string that ends with the word 'year'.","^.*year$"
"Check if the input is a string where the substring 'year' is immediately followed by a five-digit id.","^.*year\d{5}.*$"
"Search for a string where the substring 'item' is immediately followed by a three-digit id.","^.*item\d{3}.*$"
"Search for a string containing the standalone whole word 'temp'.","^.*\btemp\b.*$"
"Detect a string that starts with the word 'status'.","^status.*$"
"Match a string of between three and five word characters.","^\w{3,5}$"
"Test whether the input is a string of three letters and four digits separated by a dot.","^[A-Za-z]{3}\.[0-9]{4}$"
"Detect a string where the substring 'flag' is immediately followed by a three-digit id.","^.*flag\d{3}.*$"
"Test whether the input is a string of at least eight word characters.","^\w{8,}$"
"Identify a string of between two and four lowercase letters.","^[a-z]{2,4}$"
"Extract a string of between three and five lowercase letters.","^[a-z]{3,5}$"
"Detect a string where the substring 'login' is immediately followed by a five-digit id.","^.*login\d{5}.*$"
"Test whether the input is a string containing the standalone whole word 'invoice'.","^.*\binvoice\b.*$"
"Capture a string containing the standalone whole word 'task'.","^.*\btask\b.*$"
"Check if the input is a string that is exactly the word 'cache'.","^cache$"
"Extract a string containing the substring 'price'.","^.*price.*$"
"Check if the input is a string of four lowercase letters and four digits separated by a underscore.","^[a-z]{4}_[0-9]{4}$"
"Match a string made of four letters followed by one digit.","^[A-Za-z]{4}[0-9]{1}$"
"Find a string that starts with the word 'date'.","^date.*$"
"Extract a string containing the substring 'time'.","^.*time.*$"
"Test whether the input is a string of four letters and three digits separated by a colon.","^[A-Za-z]{4}:[0-9]{3}$"
"Identify a string containing the standalone whole word 'status'.","^.*\bstatus\b.*$"
"Identify a string where the substring 'email' is immediately followed by a four-digit id.","^.*email\d{4}.*$"
"Capture a string where the substring 'code' is immediately followed by a two-digit id.","^.*code\d{2}.*$"
"Identify a string where the substring 'year' is immediately followed by a six-digit id.","^.*year\d{6}.*$"
"Extract a string that is exactly the word 'invoice'.","^invoice$"
"Find a string where one or more digits come immediately before the word 'stack'.","^.*\d+stack.*$"
"Identify a string that is exactly the word 'user'.","^user$"
"Find a string of at least three lowercase letters.","^[a-z]{3,}$"
"Check if the input is a string where the substring 'flag' is immediately followed by a four-digit id.","^.*flag\d{4}.*$"
"Identify a string that ends with the word 'token'.","^.*token$"
"Validate a string of word characters that does not start with the word 'Config', using a negative lookahead.","^(?!Config)\w+$"
"Validate a string of three lowercase letters and three digits separated by a colon.","^[a-z]{3}:[0-9]{3}$"
"Find a string where the word 'login' is followed by one or more digits.","^.*login\d+.*$"
"Validate a string containing the standalone whole word 'item'.","^.*\bitem\b.*$"
"Identify a string made of three uppercase letters followed by three digits.","^[A-Z]{3}[0-9]{3}$"
"Check if the input is a string that starts with the word 'state'.","^state.*$"
"Match a string that is exactly the word 'invoice'.","^invoice$"
"Find a string where one or more digits come immediately before the word 'code'.","^.*\d+code.*$"
"Identify a string containing the standalone whole word 'day'.","^.*\bday\b.*$"
"Extract a string where the substring 'user' is immediately followed by a five-digit id.","^.*user\d{5}.*$"
"Search for a string that starts with the word 'code'.","^code.*$"
"Detect a string of between one and three whitespace characters.","^\s{1,3}$"
"Validate the run of digits that comes right before the unit 'ms' (milliseconds), using a positive lookahead.","\d+(?=ms)"
"Validate a string of between five and ten letters.","^[A-Za-z]{5,10}$"
"Validate a string containing the substring 'error'.","^.*error.*$"
"Match a string of four letters and four digits separated by a slash.","^[A-Za-z]{4}/[0-9]{4}$"
"Find a string where one or more digits come immediately before the word 'item'.","^.*\d+item.*$"
"Check if the input is a string of four lowercase letters and four digits separated by a hyphen.","^[a-z]{4}-[0-9]{4}$"
"Validate a string that is exactly the word 'state'.","^state$"
"Find a string of four letters and two digits separated by a underscore.","^[A-Za-z]{4}_[0-9]{2}$"
"Capture a string where the substring 'config' is immediately followed by a two-digit id.","^.*config\d{2}.*$"
"Check if the input is a string where the substring 'token' is immediately followed by a five-digit id.","^.*token\d{5}.*$"
"Test whether the input is a string of word characters that does not start with the word 'Temp', using a negative lookahead.","^(?!Temp)\w+$"
"Identify a string where the substring 'phone' is immediately followed by a five-digit id.","^.*phone\d{5}.*$"
"Capture a string of three lowercase letters and two digits separated by a slash.","^[a-z]{3}/[0-9]{2}$"
"Test whether the input is a string where the substring 'edge' is immediately followed by a six-digit id.","^.*edge\d{6}.*$"
"Test whether the input is a string made of four uppercase letters followed by two digits.","^[A-Z]{4}[0-9]{2}$"
"Search for a string where the substring 'account' is immediately followed by a five-digit id.","^.*account\d{5}.*$"
"Detect a string made of four lowercase letters followed by two digits.","^[a-z]{4}[0-9]{2}$"
"Capture a string where the substring 'account' is immediately followed by a four-digit id.","^.*account\d{4}.*$"
"Extract a string containing the substring 'phone'.","^.*phone.*$"
"Detect a string of four letters and three digits separated by a hyphen.","^[A-Za-z]{4}-[0-9]{3}$"
"Identify a string of between one and three uppercase letters.","^[A-Z]{1,3}$"
"Check if the input is a string that ends with the word 'ticket'.","^.*ticket$"
"Test whether the input is a string that ends with the word 'email'.","^.*email$"
"Capture a string that is exactly the word 'gamma'.","^gamma$"
"Check if the input is a string that ends with the word 'job'.","^.*job$"
"Search for a string that is exactly the word 'batch'.","^batch$"
"Search for a string where one or more digits come immediately before the word 'price'.","^.*\d+price.*$"
"Find a string where the substring 'item' is immediately followed by a two-digit id.","^.*item\d{2}.*$"
"Test whether the input is a string of one or more vowels.","^[aeiou]+$"
"Extract a string where the substring 'gamma' is immediately followed by a five-digit id.","^.*gamma\d{5}.*$"
"Detect a string where the substring 'phone' is immediately followed by a three-digit id.","^.*phone\d{3}.*$"
"Check if the input is a string of three letters and two digits separated by a colon.","^[A-Za-z]{3}:[0-9]{2}$"
"Search for a string where the substring 'city' is immediately followed by a three-digit id.","^.*city\d{3}.*$"
"Search for a string containing the substring 'item'.","^.*item.*$"
"Extract a string made of two lowercase letters followed by four digits.","^[a-z]{2}[0-9]{4}$"
"Match a string of at least five hexadecimal digits.","^[0-9A-Fa-f]{5,}$"
"Search for a string of three uppercase letters and two digits separated by a hyphen.","^[A-Z]{3}-[0-9]{2}$"
"Search for a string containing the standalone whole word 'state'.","^.*\bstate\b.*$"
"Validate a string of between two and four whitespace characters.","^\s{2,4}$"
"Match a string made of four letters followed by three digits.","^[A-Za-z]{4}[0-9]{3}$"
"Identify a string where the substring 'time' is immediately followed by a five-digit id.","^.*time\d{5}.*$"
"Detect a string of exactly six digits.","^[0-9]{6}$"
"Match a string of between two and six hexadecimal digits.","^[0-9A-Fa-f]{2,6}$"
"Match a string where the substring 'state' is immediately followed by a six-digit id.","^.*state\d{6}.*$"
"Match a string where the substring 'temp' is immediately followed by a three-digit id.","^.*temp\d{3}.*$"
"Match a string containing the standalone whole word 'city'.","^.*\bcity\b.*$"
"Match a string of three lowercase letters and two digits separated by a slash.","^[a-z]{3}/[0-9]{2}$"
"Check if the input is a string of exactly seven uppercase letters.","^[A-Z]{7}$"
"Capture a string that starts with the word 'flag'.","^flag.*$"
"Match a string of two lowercase letters and two digits separated by a hyphen.","^[a-z]{2}-[0-9]{2}$"
"Capture a string that ends with the word 'test'.","^.*test$"
"Extract a string that ends with the word 'data'.","^.*data$"
"Search for a string of three uppercase letters and four digits separated by a hyphen.","^[A-Z]{3}-[0-9]{4}$"
"Identify a string containing the substring 'hour'.","^.*hour.*$"
"Capture a string that is exactly the word 'day'.","^day$"
"Find a string where the substring 'city' is immediately followed by a five-digit id.","^.*city\d{5}.*$"
"Capture a string of exactly two special characters.","^[!@#$%^&*]{2}$"
"Test whether the input is a string of two letters and three digits separated by a slash.","^[A-Za-z]{2}/[0-9]{3}$"
"Search for a string that is exactly the word 'report'.","^report$"
"Match a string where the substring 'code' is immediately followed by a six-digit id.","^.*code\d{6}.*$"
"Identify a string where the substring 'user' is immediately followed by a four-digit id.","^.*user\d{4}.*$"
"Detect a string of one or more digits.","^[0-9]+$"
"Identify a string where the substring 'account' is immediately followed by a four-digit id.","^.*account\d{4}.*$"
"Search for a string of exactly one consonant.","^[bcdfghjklmnpqrstvwxyz]$"
